"incident_date","incident_number","cad_number","alarm_date_time","unit_clear_date_time","street_address","apt_suite_number","neighborhood","incident_type_id","incident_type_desc","alarms","suppression_app_count","suppression_per_count","ems_app_count","ems_per_count","other_app_count","other_per_count","incident_closed","Location"
2010-12-30,114,10364114,2010-12-30 15:22:00,2010-12-30 15:46:00,"2568 NORTH BEND RD","","MOUNT AIRY",131,"Passenger vehicle fire",0,1,4,0,NA,0,0,1,"CINC 45239
(39.20625963100008, -84.57852697299995)"
2010-12-30,103,10364103,2010-12-30 13:57:00,2010-12-30 16:44:00,"3629 EATON LN","","NORTH AVON",111,"Fire - Building",1,11,30,0,NA,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
2010-12-30,80,10364080,2010-12-30 11:15:00,2010-12-30 11:35:00,"3437 MONTGOMERY RD","","EVANSTON  ",743,"Smoke detector activation, no fire - unintentional",0,1,4,0,NA,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
2010-12-30,75,10364075,2010-12-30 10:36:00,2010-12-30 10:50:00,"21 5TH ST","","C. B. D. /",740,"Unintentional transmission of alarm, other",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-30,70,10364070,2010-12-30 10:05:00,2010-12-30 10:07:00,"3130 HIGHLAND AV","","CORRYVILLE",611,"Dispatched & canceled en route",0,1,4,0,NA,0,0,1,"CINC 45267
(39.13665698800003, -84.50151609599999)"
2010-12-30,66,10364066,2010-12-30 09:28:00,2010-12-30 09:39:00,"4955 SPRING GROVE AV","","WINTON  PL",731,"Sprinkler activation due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45232
(39.17969861200004, -84.51558956899999)"
2010-12-30,61,10364061,2010-12-30 09:17:00,2010-12-30 09:25:00,"5343 HAMILTON AV","","COLLEGE  H",651,"Smoke scare, odor of smoke",0,1,4,0,NA,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
2010-12-30,60,10364060,2010-12-30 09:16:00,2010-12-30 09:39:00,"99 SECOND ST","","C. B. D. /",735,"Alarm system sounded due to malfunction",0,1,4,0,NA,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
2010-12-30,51,10364051,2010-12-30 08:40:00,2010-12-30 10:20:00,"1209 GALBRAITH ","3","COLLEGE  H",111,"Fire - Building",0,4,10,0,0,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
2010-12-30,50,10364050,2010-12-30 08:33:00,2010-12-30 08:47:00,"2937 Madison","","OAKLEY    ",324,"Motor vehicle accident with no injuries.",0,1,4,0,NA,1,4,1,"CINC 45209
(39.15225990300007, -84.42664730599995)"
